angle,tanker_laden,tanker_ballast,liquid_gas_laden,container_laden,container_ballast,car_carrier_laden,ro_pax_laden,general_cargo_laden,bulk_handysize_laden,bulk_handysize_ballast,multi_purpose_laden,multi_purpose_ballast,bulk_capesize_laden
0.0,-0.96,-0.86,-1.02,-1.01,-0.97,-0.52,-0.69,-0.6,-0.75,-0.71,-0.81,-0.84,-0.871
10.0,-0.93,-0.76,-0.99,-1.0951851851851853,-1.0525925925925923,-0.5101234567901234,-0.7255555555555555,-0.87,-0.91,-0.84,-0.7766666666666667,-0.9088888888888887,-0.782
20.0,-0.85,-0.62,-0.93,-1.11,-1.0281755829903978,-0.4790123456790123,-0.7249477682811015,-1.0,-0.94,-0.89,-0.7448583877995643,-0.9444444444444444,-0.825
30.0,-0.73,-0.45,-0.83,-1.11,-0.9,-0.4,-0.69,-1.0,-0.87,-0.82,-0.71,-0.96,-0.733
40.0,-0.62,-0.32,-0.67,-1.0183883883883884,-0.8271133058984912,-0.2653198653198653,-0.4726799860555135,-0.88,-0.80,-0.7,-0.6336601307189541,-0.8441750841750841,-0.641
50.0,-0.47,-0.21,-0.48,-0.8864264264264263,-0.7473934904601571,-0.1465628507295173,-0.24,-0.85,-0.59,-0.49,-0.5531231231231231,-0.6811651397697909,-0.493
60.0,-0.34,-0.13,-0.3,-0.74,-0.65,-0.07,-0.26,-0.65,-0.34,-0.23,-0.47,-0.52,-0.457
70.0,-0.17,-0.06,-0.14,-0.5596964177292046,-0.5268731762065095,-0.0516520467836257,-0.1078164053624176,-0.42,-0.18,-0.12,-0.3105660562523307,-0.391696813092162,-0.309
80.0,-0.06,-0.04,-0.03,-0.3566499286171417,-0.3958467432950192,0.0089668615984405,0.1177300613496932,-0.27,0.02,0.01,-0.1381738958209546,-0.2711904761904762,-0.13
90.0,0.05,0.02,0.05,-0.13,-0.25,0.12,0.04,-0.09,0.11,-0.02,0.04,-0.14,-0.003
100.0,0.14,0.08,0.11,0.1346508730953175,-0.0108939974457215,-0.1762962962962964,-0.04,0.09,0.10,0.02,0.3011317109207404,0.0950461267127933,0.11
110.0,0.22,0.19,0.24,0.444498399634202,0.2415986872948898,-0.19875,0.1,0.49,0.22,0.12,0.5887869198312236,0.3761188066935194,0.238
120.0,0.29,0.29,0.41,0.77,0.49,0.17,0.24,0.84,0.44,0.36,0.83,0.64,0.42
130.0,0.4,0.38,0.56,1.014902584005264,0.8008390231428206,0.5376541095890411,0.3993942957292867,1.15,0.65,0.55,0.8949509803921569,0.7593072487325361,0.551
140.0,0.53,0.47,0.68,1.1328130081300811,0.9685862547039018,0.7825773718924404,0.57,1.39,0.78,0.71,0.9532897603485838,0.8759034792368126,0.666
150.0,0.66,0.56,0.79,1.18,1.04,0.9,0.7891701244813277,1.47,0.81,0.76,1.0,0.97,0.705
160.0,0.75,0.61,0.88,1.1887407407407409,1.0741612200435728,0.8788359788359789,0.82,1.34,0.85,0.79,0.9636363636363636,0.8772169312169312,0.706
170.0,0.79,0.66,0.92,1.153333333333333,1.0592592592592591,0.8352380952380952,0.73,0.92,0.82,0.8,0.9222895622895624,0.7501904761904763,0.695
180.0,0.77,0.63,0.91,0.94,0.93,0.7600000000000001,0.67,0.82,0.70,0.68,0.89,0.62,0.705
